review_number,case,source_path_relative,group,decision,decision_reason,contact_sheet,review_method
86,05558--cbtower-dsn--7f4d3e5d,ZH_Generals\W3D.big\Art\W3D\CBTower_dsn.w3d,missing-texture,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05558--cbtower-dsn--7f4d3e5d\four-view.png,Manual four-view visual inspection
87,05577--cbtownhs01-es--0d06f0a5,ZH_Generals\W3D.big\Art\W3D\CBTownHs01_ES.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05577--cbtownhs01-es--0d06f0a5\four-view.png,Manual four-view visual inspection
88,05639--cbtsmlrtl03-g--45de1d8a,ZH_Generals\W3D.big\Art\W3D\CBTsmlrtl03_G.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05639--cbtsmlrtl03-g--45de1d8a\four-view.png,Manual four-view visual inspection
89,05670--cbtsmlrtl2-ng--e6370ad5,ZH_Generals\W3D.big\Art\W3D\CBTsmlrtl2_NG.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05670--cbtsmlrtl2-ng--e6370ad5\four-view.png,Manual four-view visual inspection
90,05759--cbwfrwhrs2-rn--33fb9ba6,ZH_Generals\W3D.big\Art\W3D\CBWFrWhrs2_RN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05759--cbwfrwhrs2-rn--33fb9ba6\four-view.png,Manual four-view visual inspection
91,05855--cmtgovbuil-en--a4db37ba,ZH_Generals\W3D.big\Art\W3D\CMTGovBuil_EN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05855--cmtgovbuil-en--a4db37ba\four-view.png,Manual four-view visual inspection
92,06142--cbthouse03--83ed5eb6,ZH_Generals\W3D.big\Art\W3D\Mogadishu House 03 - CBTHouse03.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06142--cbthouse03--83ed5eb6\four-view.png,Manual four-view visual inspection
93,06381--nbpcenter-a6sn--5f026a8a,ZH_Generals\W3D.big\Art\W3D\NBPCenter_A6SN.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06381--nbpcenter-a6sn--5f026a8a\four-view.png,Manual four-view visual inspection
94,06415--nbptower-dns--9aea9c79,ZH_Generals\W3D.big\Art\W3D\NBPTower_DNS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06415--nbptower-dns--9aea9c79\four-view.png,Manual four-view visual inspection
95,06416--nbptower-ds--8145167b,ZH_Generals\W3D.big\Art\W3D\NBPTower_DS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06416--nbptower-ds--8145167b\four-view.png,Manual four-view visual inspection
96,06419--nbptower-ens--ec134a14,ZH_Generals\W3D.big\Art\W3D\NBPTower_ENS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06419--nbptower-ens--ec134a14\four-view.png,Manual four-view visual inspection
97,06420--nbptower-es--1dff9cd6,ZH_Generals\W3D.big\Art\W3D\NBPTower_ES.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06420--nbptower-es--1dff9cd6\four-view.png,Manual four-view visual inspection
98,06422--nbptower-ns--dd7d9215,ZH_Generals\W3D.big\Art\W3D\NBPTower_NS.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06422--nbptower-ns--dd7d9215\four-view.png,Manual four-view visual inspection
99,06423--nbptower-s--464ea1fe,ZH_Generals\W3D.big\Art\W3D\NBPTower_S.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06423--nbptower-s--464ea1fe\four-view.png,Manual four-view visual inspection
100,06810--ptspruce01-b--8e690365,ZH_Generals\W3D.big\Art\W3D\PTSpruce01_B.w3d,missing-texture,rejected,Rejected: vegetation is effectively an untextured dark silhouette.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06810--ptspruce01-b--8e690365\four-view.png,Manual four-view visual inspection
101,06929--cbtconvst2--4ec2d9e7,ZH_Generals\W3D.big\Art\W3D\Stan Convenience Store 02 - CBTConvSt2.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06929--cbtconvst2--4ec2d9e7\four-view.png,Manual four-view visual inspection
102,07024--ptblossom01--4d1fca20,ZH_Generals\W3D.big\Art\W3D\Tree Cherry Blossom 01 - PTBlossom01.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\07024--ptblossom01--4d1fca20\four-view.png,Manual four-view visual inspection
103,07150--ubpalace-n--ccbae16e,ZH_Generals\W3D.big\Art\W3D\UBPalace_N.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\07150--ubpalace-n--ccbae16e\four-view.png,Manual four-view visual inspection
104,07354--zbrefinery-r--b02f1d10,ZH_Generals\W3D.big\Art\W3D\ZBRefinery_R.w3d,missing-texture,accepted,Accepted: missing-texture warning is not visually consequential; model remains coherent and substantially textured.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\07354--zbrefinery-r--b02f1d10\four-view.png,Manual four-view visual inspection
105,00125--abwarfact-a2e--e727fd21,W3DZH.big\Art\W3D\ABWarFact_A2E.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00125--abwarfact-a2e--e727fd21\four-view.png,Manual four-view visual inspection
106,00175--cbnhongk02-tr--70a3b448,W3DZH.big\Art\W3D\Asian Mega Hotel 01 Bib - CBNHongK02_TR.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00175--cbnhongk02-tr--70a3b448\four-view.png,Manual four-view visual inspection
107,00211--avchinook-d5--5ca09e3e,W3DZH.big\Art\W3D\AVChinook_d5.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00211--avchinook-d5--5ca09e3e\four-view.png,Manual four-view visual inspection
108,00237--avpowtruck-d3--5af4801a,W3DZH.big\Art\W3D\avpowtruck_d3.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00237--avpowtruck-d3--5af4801a\four-view.png,Manual four-view visual inspection
109,00923--cbindwhs01-dn--b76f591a,W3DZH.big\Art\W3D\CBIndWhs01_DN.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00923--cbindwhs01-dn--b76f591a\four-view.png,Manual four-view visual inspection
110,00927--cbindwhs01-dsn--f10299fb,W3DZH.big\Art\W3D\CBIndWhs01_DSN.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\00927--cbindwhs01-dsn--f10299fb\four-view.png,Manual four-view visual inspection
111,01270--cbnhongk02-trd--cbf1fb9f,W3DZH.big\Art\W3D\CBNHongK02_TRD.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\01270--cbnhongk02-trd--cbf1fb9f\four-view.png,Manual four-view visual inspection
112,02363--cine-sun--c09183ed,W3DZH.big\Art\W3D\CINE Sun - CINE_Sun.w3d,extreme-aspect,rejected,Rejected: effect-like sun sprite is not a useful rigid-object conversion.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02363--cine-sun--c09183ed\four-view.png,Manual four-view visual inspection
113,02776--nbintcnt-f--5278596c,W3DZH.big\Art\W3D\NBIntCnt_F.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02776--nbintcnt-f--5278596c\four-view.png,Manual four-view visual inspection
114,02966--pmgrate01--cb6217c0,W3DZH.big\Art\W3D\PMGrate01.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02966--pmgrate01--cb6217c0\four-view.png,Manual four-view visual inspection
115,02998--pmmanhle01--fe50aa09,W3DZH.big\Art\W3D\PMManhle01.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\02998--pmmanhle01--fe50aa09\four-view.png,Manual four-view visual inspection
116,03050--pmtileb01--991b67f3,W3DZH.big\Art\W3D\PMTileB01.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03050--pmtileb01--991b67f3\four-view.png,Manual four-view visual inspection
117,03134--pmwalpckt2-ds--e35ad20d,W3DZH.big\Art\W3D\PMWalPckt2_DS.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03134--pmwalpckt2-ds--e35ad20d\four-view.png,Manual four-view visual inspection
118,03135--pmwalpckt2-s--2cdf9081,W3DZH.big\Art\W3D\PMWalPckt2_S.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03135--pmwalpckt2-s--2cdf9081\four-view.png,Manual four-view visual inspection
119,03393--ubdemotrap--bfc9b9ba,W3DZH.big\Art\W3D\UBDemoTrap.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03393--ubdemotrap--bfc9b9ba\four-view.png,Manual four-view visual inspection
120,03442--ubprison-a7--0e291e75,W3DZH.big\Art\W3D\UBPrison_A7.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03442--ubprison-a7--0e291e75\four-view.png,Manual four-view visual inspection
121,03445--ubprison-a8--3d399728,W3DZH.big\Art\W3D\UBPrison_A8.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03445--ubprison-a8--3d399728\four-view.png,Manual four-view visual inspection
122,03456--ubpwrplant-d2--bea1c39b,W3DZH.big\Art\W3D\UBPwrPlant_D2.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03456--ubpwrplant-d2--bea1c39b\four-view.png,Manual four-view visual inspection
123,03735--abarfrccmd-a8--8f1845d8,ZH_Generals\W3D.big\Art\W3D\ABArFrcCmd_A8.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03735--abarfrccmd-a8--8f1845d8\four-view.png,Manual four-view visual inspection
124,03736--abarfrccmd-a9--a492360c,ZH_Generals\W3D.big\Art\W3D\ABArFrcCmd_A9.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\03736--abarfrccmd-a9--a492360c\four-view.png,Manual four-view visual inspection
125,04019--abwarfact-a8--6218c45e,ZH_Generals\W3D.big\Art\W3D\ABWarFact_A8.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04019--abwarfact-a8--6218c45e\four-view.png,Manual four-view visual inspection
126,04020--abwarfact-a8d--a9c14f29,ZH_Generals\W3D.big\Art\W3D\ABWarFact_A8D.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04020--abwarfact-a8d--a9c14f29\four-view.png,Manual four-view visual inspection
127,04021--abwarfact-a8e--7fce8031,ZH_Generals\W3D.big\Art\W3D\ABWarFact_A8E.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04021--abwarfact-a8e--7fce8031\four-view.png,Manual four-view visual inspection
128,04097--cbnaptcom-tr--90c4e7cf,ZH_Generals\W3D.big\Art\W3D\Asian Apartment Complex Bib - CBNAptCom_TR.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04097--cbnaptcom-tr--90c4e7cf\four-view.png,Manual four-view visual inspection
129,04757--cbnaptcom-trd--78111205,ZH_Generals\W3D.big\Art\W3D\CBNAptCom_TRD.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\04757--cbnaptcom-trd--78111205\four-view.png,Manual four-view visual inspection
130,05143--cbstadfield-d--288bd372,ZH_Generals\W3D.big\Art\W3D\CBStadField_D.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05143--cbstadfield-d--288bd372\four-view.png,Manual four-view visual inspection
131,05144--cbstadfield-e--2da20c67,ZH_Generals\W3D.big\Art\W3D\CBStadField_E.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05144--cbstadfield-e--2da20c67\four-view.png,Manual four-view visual inspection
132,05145--cbstadfield-r--bff086c6,ZH_Generals\W3D.big\Art\W3D\CBStadField_R.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\05145--cbstadfield-r--bff086c6\four-view.png,Manual four-view visual inspection
133,06127--pmmanhole--e8446fcd,ZH_Generals\W3D.big\Art\W3D\Man Hole Cover - PMManHole.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06127--pmmanhole--e8446fcd\four-view.png,Manual four-view visual inspection
134,06181--nbairfield-a8--182a3912,ZH_Generals\W3D.big\Art\W3D\NBAirfield_A8.w3d,extreme-aspect,rejected,"Rejected: isolated state fragment, near-empty debris, or other geometry does not make a useful representative rendering.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06181--nbairfield-a8--182a3912\four-view.png,Manual four-view visual inspection
135,06608--pmwalpckt1--b5e58ed8,ZH_Generals\W3D.big\Art\W3D\Picket Fence 01 - PMWalPckt1.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06608--pmwalpckt1--b5e58ed8\four-view.png,Manual four-view visual inspection
136,06657--pmmanhole-d--cb2b5a37,ZH_Generals\W3D.big\Art\W3D\PMManHole_d.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06657--pmmanhole-d--cb2b5a37\four-view.png,Manual four-view visual inspection
137,06734--pmwalpckt1-d--ba4eb617,ZH_Generals\W3D.big\Art\W3D\PMWalPckt1_D.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06734--pmwalpckt1-d--ba4eb617\four-view.png,Manual four-view visual inspection
138,06735--pmwalpckt2--2202a8ce,ZH_Generals\W3D.big\Art\W3D\PMWalPckt2.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06735--pmwalpckt2--2202a8ce\four-view.png,Manual four-view visual inspection
139,06736--pmwalpckt2-d--ee7e72df,ZH_Generals\W3D.big\Art\W3D\PMWalPckt2_D.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06736--pmwalpckt2-d--ee7e72df\four-view.png,Manual four-view visual inspection
140,06916--cbstadfield--d3afa0d4,ZH_Generals\W3D.big\Art\W3D\Soccer Stadium Field - CBStadField.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\06916--cbstadfield--d3afa0d4\four-view.png,Manual four-view visual inspection
141,07018--pmtrshpp01--5fc16a39,ZH_Generals\W3D.big\Art\W3D\Trash Paper 01 - PMTrshPp01.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\07018--pmtrshpp01--5fc16a39\four-view.png,Manual four-view visual inspection
142,07019--pmtrshpp02--f108e097,ZH_Generals\W3D.big\Art\W3D\Trash Paper 02 - PMTrshPp02.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\07019--pmtrshpp02--f108e097\four-view.png,Manual four-view visual inspection
143,07020--pmtrshpp03--f6186ddd,ZH_Generals\W3D.big\Art\W3D\Trash Paper 03 - PMTrshPp03.w3d,extreme-aspect,accepted,Accepted: extreme bounds describe a legitimate flat or elongated asset that is coherent and fully framed.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-production\output\07020--pmtrshpp03--f6186ddd\four-view.png,Manual four-view visual inspection
