operation,category,source_relative,target_relative,bytes,sha256,reason,recovery
preserve-original,csf,W3DEnglishZH.big\Data\English\generals.csf,W3DEnglishZH.big\Data\English\_primitive media\generals.csf,925054,3d06052fe6545b7c5dff910eb78c391998f60ec6e33d01a0b94b1ba98d3b9791,,
preserve-original,csf,ZH_Generals\English.big\Data\English\generals.csf,ZH_Generals\English.big\Data\English\_primitive media\generals.csf,282246,c4523c0d88246efdeedc21827c947f8af2de4e41e22711afc7c362210f912e9e,,
preserve-original,doc,EnglishZH.big\Data\English\readme.doc,EnglishZH.big\Data\English\_primitive media\readme.doc,105810,07c5c74e7f67caa8178c3d29ad98d929e4fd1f98d28eef75f204db9f231f68e1,,
preserve-original,doc,W3DEnglishZH.big\Data\English\readme.doc,W3DEnglishZH.big\Data\English\_primitive media\readme.doc,105810,07c5c74e7f67caa8178c3d29ad98d929e4fd1f98d28eef75f204db9f231f68e1,,
preserve-original,doc,ZH_Generals\English.big\Data\English\readme.doc,ZH_Generals\English.big\Data\English\_primitive media\readme.doc,81482,57699818c416cd24d6749d52b448eb207632b0bd9912e3da57576be535f82c55,,
remove-nonmedia,pso,ShadersZH.big\Shaders\fterrain.pso,,56,4739a19c0fac0720114c8baa7e93d4442bfe6b179b0fd5a2b8991cf73a368e2b,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ShadersZH.big\Shaders\fterrain0.pso,,44,4151177669963687bc37599986bc5f35280b595685adf4d9cca9695f962971c4,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ShadersZH.big\Shaders\fterrainnoise.pso,,80,85f8fdda9c9a5e16c5bc35b78fe2c08a9b039817b628b05460806fc47ef6d7a5,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ShadersZH.big\Shaders\fterrainnoise2.pso,,104,3a365599d7e8b0e40b98fea1c098a09bdfd6efc6e6fc7b4d1f8cfa6fd6291d06,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ShadersZH.big\Shaders\motionblur.pso,,124,43780354b829844dddf8599fad221ad5d8c462acd04054ea254bc7f4a822e8b9,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ShadersZH.big\Shaders\Trees.pso,,72,5d50d99e5d8e6192625b1518d07252b559a73949c370af7e52f62d581ca1d605,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\invmonochrome.pso,,68,89734f38b5bb17bb924d10a45e027b7cebc32f86456546573f8aa7354c0150ac,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\monochrome.pso,,68,d955a3febe5b85c3e3fce9fc9ec02a0d4171cc3d85d62688fa138b5213e3a7b6,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\motionblur.pso,,124,43780354b829844dddf8599fad221ad5d8c462acd04054ea254bc7f4a822e8b9,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\roadnoise2.pso,,80,dc27189e0219f797ace96a66f65113305724a489e404f0d9e2d0ef5988b35eaf,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\terrain.pso,,60,aefcea9655baa0d0839ee2eb66a61600bcf3ecc3b32ff2221843b76451e25b3b,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\terrainnoise.pso,,84,398b275c7d4b7db022f023667b62e519034796b5ef9d1f33507c764460b523ea,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\terrainnoise2.pso,,108,add3b8b09d6769388f06bc63d2c93b5676acb9aae6b2f889eaeb86ea7893e8fb,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,pso,ZH_Generals\shaders.big\Shaders\wave.pso,,44,7a8e21945af12b5d2e509e5abed4558ff7dbb9c3b3c2290b7bdd25583a4b2f99,Compiled Direct3D pixel shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,vso,ShadersZH.big\Shaders\MotionBlur.vso,,80,dbfae86c7487cc88a458438dfb9c465f4af8a810447a8741a5fb159a48e5ad66,Compiled Direct3D vertex shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,vso,ShadersZH.big\Shaders\Trees.vso,,168,b764588d67e652f249892d1c021d35adb748e797a3627b35e33567b0f832cecb,Compiled Direct3D vertex shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,vso,ZH_Generals\shaders.big\Shaders\MotionBlur.vso,,80,dbfae86c7487cc88a458438dfb9c465f4af8a810447a8741a5fb159a48e5ad66,Compiled Direct3D vertex shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,vso,ZH_Generals\shaders.big\Shaders\wave.vso,,156,2f7a40701357820af3dc6962be6376333c67fa59c94f50f3eeaf330fee820fcf,Compiled Direct3D vertex shader; not standalone media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,sec,gensecZH.big\generalsbzh.sec,,787416,8135510373e31c32f6d7ff4deb242db33bd0a53b35c3c9f608ca2b76cb282062,Archive fingerprint/security data; not media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,sec,Music.big\generalsa.sec,,786676,7654627661d2c441167cb100f1fd0d08ac3fd2997bdbf3774df142676a26a2b8,Archive fingerprint/security data; not media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,sec,MusicZH.big\generalsazh.sec,,786676,78043030cd9e4a3fb2f79df51e2b15cada86e5ed5ff2860e02ab62ae6dbcf05a,Archive fingerprint/security data; not media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,sec,ZH_Generals\gensec.big\generalsb.sec,,787416,023c110537170448d315347ed902e0b6bfdd479edc1956db4ce6f36ad1e118fd,Archive fingerprint/security data; not media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,sec,ZH_Generals\Music.big\generalsa.sec,,786676,7654627661d2c441167cb100f1fd0d08ac3fd2997bdbf3774df142676a26a2b8,Archive fingerprint/security data; not media,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,empty-str,MapsZH.big\Maps\MD_GLA01\map.str,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Empty map-localization placeholder with no content,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,empty-str,MapsZH.big\Maps\MD_GLA04\map.str,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Empty map-localization placeholder with no content,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,empty-str,MapsZH.big\Maps\MD_USA01\map.str,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Empty map-localization placeholder with no content,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,empty-str,MapsZH.big\Maps\MD_USA03\map.str,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Empty map-localization placeholder with no content,Re-extract from the source BIG archive named by the first path component
remove-nonmedia,empty-extensionless,PatchZH.big\Data\_,,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Zero-byte extensionless placeholder with no content,Re-extract from PatchZH.big
