production_number,case,source_cases,physical_number,source_path_relative,recommended_format,source_media,source_bytes,sha256,target_directory,target_media,preflight_state
56,00445--cbchalet2-dng--59a68e39,00445--cbchalet2-dng--59a68e39,1,W3DZH.big\Art\W3D\CBChalet2_dng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00445--cbchalet2-dng--59a68e39\Civilian - Civilian Building - Chalet 2 - CBChalet2_dng.gif,36658,aa373980e4e59bb8e0076e43d2043605250b2942d681c9bf0068e49749e5268c,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Chalet 2 - CBChalet2_dng.gif,new
57,00496--cbchembunk-g--cd0cab6f,00496--cbchembunk-g--cd0cab6f,1,W3DZH.big\Art\W3D\CBChemBunk_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00496--cbchembunk-g--cd0cab6f\Civilian - Civilian Building - Chemical Bunker - CBChemBunk_g.gif,48181,a44b770cd50fab1b9f1fcbd73fc3dc23bfdb713bc6bb2b2280b54acb1a22751f,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Chemical Bunker - CBChemBunk_g.gif,new
58,04425--cbfwfctry-g--d1b7760e,04425--cbfwfctry-g--d1b7760e,1,ZH_Generals\W3D.big\Art\W3D\CBFWFctry_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04425--cbfwfctry-g--d1b7760e\Civilian - Civilian Building - Chineese Fireworks Factory - CBFWFctry_g.gif,81673,c85ec1e0385e556380c99579fb8efd6db7626b72a8b45570115efed0439f2832,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Chineese Fireworks Factory - CBFWFctry_g.gif,new
59,00517--cbchrch01-dsng--db6891f3,00517--cbchrch01-dsng--db6891f3,1,W3DZH.big\Art\W3D\CBChrch01_DSNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00517--cbchrch01-dsng--db6891f3\Civilian - Civilian Building - Chrch 01 DSNG - CBChrch01_DSNG.gif,52125,bc707c7cf4138905dec3eaab8bdbef689823809e63827e5f208ea37b1cabba1d,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Chrch 01 DSNG - CBChrch01_DSNG.gif,new
60,04381--cbcnvstr01-g--b273acda,04381--cbcnvstr01-g--b273acda,1,ZH_Generals\W3D.big\Art\W3D\CBCnvStr01_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04381--cbcnvstr01-g--b273acda\Civilian - Civilian Building - Convience Store - CBCnvStr01_g.gif,57743,c6a1a6ef5e154741a21c758c675c9989427381e240529189a78b5fcf583c27de,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Convience Store - CBCnvStr01_g.gif,new
61,05080--cboldmslm-dg--1a3451a0,05080--cboldmslm-dg--1a3451a0,1,ZH_Generals\W3D.big\Art\W3D\CBOldmslm_dg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05080--cboldmslm-dg--1a3451a0\Civilian - Civilian Building - Crypt 01 - CBOldmslm_dg.gif,55964,f996f9fa6b0890f7605985eed5fd1e018513264643c7baa67edc8938257f425e,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Crypt 01 - CBOldmslm_dg.gif,new
63,00569--cbdriveine-g--85be4b9d,00569--cbdriveine-g--85be4b9d,1,W3DZH.big\Art\W3D\CBDriveInE_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00569--cbdriveine-g--85be4b9d\Civilian - Civilian Building - Drive In Entrance - CBDriveInE_G.gif,69382,fef4151351d3b05c4b9aec681f0d52d1d7eeb05a3f1c1ff03a5f40df5d91e84b,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Drive In Entrance - CBDriveInE_G.gif,new
64,00577--cbdriveins-g--09f9b515,00577--cbdriveins-g--09f9b515,1,W3DZH.big\Art\W3D\CBDriveInS_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00577--cbdriveins-g--09f9b515\Civilian - Civilian Building - Drive In Snacks - CBDriveInS_G.gif,62548,bcb852240c77e5b38f714edff614bd1b023122aa3bed48f09a0d8cd21fc96858,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Drive In Snacks - CBDriveInS_G.gif,new
65,00589--cbetvstat-ng--14b53d87,00589--cbetvstat-ng--14b53d87,1,W3DZH.big\Art\W3D\CBETVStat_NG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00589--cbetvstat-ng--14b53d87\Civilian - Civilian Building - English TV Statio - CBETVStat_NG.gif,166231,ce5b885048e7679c29e2cd884f11d5454752043ea8515055386463c1bf63f311,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - English TV Statio - CBETVStat_NG.gif,new
66,00623--cbeurocnd-sg--2685efd8,00623--cbeurocnd-sg--2685efd8,1,W3DZH.big\Art\W3D\CBEuroCnd_sg.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00623--cbeurocnd-sg--2685efd8\Civilian - Civilian Building - Euro Highrise - CBEuroCnd_sg.gif,58773,73329c59b0d206e99ddac44ac09bc23482b62d76093aa4e1a09ff373f70ac452,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Euro Highrise - CBEuroCnd_sg.gif,new
67,00600--cbeurocnd2-dng--0286d0c9,00600--cbeurocnd2-dng--0286d0c9,1,W3DZH.big\Art\W3D\CBEuroCnd2_DNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00600--cbeurocnd2-dng--0286d0c9\Civilian - Civilian Building - Euro Highrise 2 - CBEuroCnd2_DNG.gif,69586,d533ac8881162f636858c7842f1391071f1d1613c6ab5708fee48b177f1d97c3,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Euro Highrise 2 - CBEuroCnd2_DNG.gif,new
68,00555--cbcthdrl-g--5f093084,00555--cbcthdrl-g--5f093084,1,W3DZH.big\Art\W3D\CBCthdrl_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00555--cbcthdrl-g--5f093084\Civilian - Civilian Building - European Museum - CBCthdrl_G.gif,46088,9f09439115b82ce5cce976d06cfafca28322063a8d344707ec88ad6148a3972c,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - European Museum - CBCthdrl_G.gif,new
69,04417--cbeuropkg-g--fe26f28c,04417--cbeuropkg-g--fe26f28c,1,ZH_Generals\W3D.big\Art\W3D\CBEuroPkg_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04417--cbeuropkg-g--fe26f28c\Civilian - Civilian Building - European Parking Garage - CBEuroPkg_G.gif,64976,e15b0102a7543824c13a9d2a334a83b060d353a8612ecfd2a9a60e72688688e1,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - European Parking Garage - CBEuroPkg_G.gif,new
70,04880--cbnfcitysh-g--25502dd6,04880--cbnfcitysh-g--25502dd6,1,ZH_Generals\W3D.big\Art\W3D\CBNFCitySH_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04880--cbnfcitysh-g--25502dd6\Civilian - Civilian Building - Forbidden City Gates - CBNFCitySH_g.gif,36314,b520f8c7f9833250c0c002043c7456d522ed5950cb492c41ec020e9b5c543bed,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Forbidden City Gates - CBNFCitySH_g.gif,new
71,04875--cbnfcitych-g--40257269,04875--cbnfcitych-g--40257269,1,ZH_Generals\W3D.big\Art\W3D\CBNFCityCH_g.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04875--cbnfcitych-g--40257269\Civilian - Civilian Building - Forbidden City Tower - CBNFCityCH_g.gif,69696,c7fdcba747b1de24f88a969af9b9b5b37418c570d9d469d22b8cdd45cd4a9f5d,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Forbidden City Tower - CBNFCityCH_g.gif,new
72,06069--cmwalakml4--efb2d5d5,06069--cmwalakml4--efb2d5d5,1,ZH_Generals\W3D.big\Art\W3D\Fortress Wall Building - CMWalAkml4.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06069--cmwalakml4--efb2d5d5\Civilian - Civilian Building - Fortress Wall Building - CMWalAkml4.gif,135588,7f1b222ae6ce3fb5a3bae0f9d3542604201465862e3c7db655133ca2968f9260,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Fortress Wall Building - CMWalAkml4.gif,new
73,06070--cmwalakml5--5a5f7712,06070--cmwalakml5--5a5f7712,1,ZH_Generals\W3D.big\Art\W3D\Fortress Wall Corner - CMWalAkml5.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06070--cmwalakml5--5a5f7712\Civilian - Civilian Building - Fortress Wall Corner - CMWalAkml5.gif,95553,6d97c018afe20a8ab1d8ee0f8bfbe2f1f1ace891df66c9a244bbace9035455ec,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Fortress Wall Corner - CMWalAkml5.gif,new
74,00689--cbgchrch01-dg--a4ecd5a3,00689--cbgchrch01-dg--a4ecd5a3,1,W3DZH.big\Art\W3D\CBGChrch01_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00689--cbgchrch01-dg--a4ecd5a3\Civilian - Civilian Building - G Chrch 01 DG - CBGChrch01_DG.gif,50872,4caeabc123c8e97990a6d5c225070085a58f8251b48e5fbc0efa07bfac8b7845,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 DG - CBGChrch01_DG.gif,new
75,00691--cbgchrch01-dng--0dbd76fc,00691--cbgchrch01-dng--0dbd76fc,1,W3DZH.big\Art\W3D\CBGChrch01_DNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00691--cbgchrch01-dng--0dbd76fc\Civilian - Civilian Building - G Chrch 01 DNG - CBGChrch01_DNG.gif,50872,4caeabc123c8e97990a6d5c225070085a58f8251b48e5fbc0efa07bfac8b7845,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 DNG - CBGChrch01_DNG.gif,new
76,00693--cbgchrch01-dsg--c7d9516d,00693--cbgchrch01-dsg--c7d9516d,1,W3DZH.big\Art\W3D\CBGChrch01_DSG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00693--cbgchrch01-dsg--c7d9516d\Civilian - Civilian Building - G Chrch 01 DSG - CBGChrch01_DSG.gif,52125,bc707c7cf4138905dec3eaab8bdbef689823809e63827e5f208ea37b1cabba1d,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 DSG - CBGChrch01_DSG.gif,new
77,00695--cbgchrch01-dsng--3f73de31,00695--cbgchrch01-dsng--3f73de31,1,W3DZH.big\Art\W3D\CBGChrch01_DSNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00695--cbgchrch01-dsng--3f73de31\Civilian - Civilian Building - G Chrch 01 DSNG - CBGChrch01_DSNG.gif,52125,bc707c7cf4138905dec3eaab8bdbef689823809e63827e5f208ea37b1cabba1d,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 DSNG - CBGChrch01_DSNG.gif,new
78,00700--cbgchrch01-g--747d2374,00700--cbgchrch01-g--747d2374,1,W3DZH.big\Art\W3D\CBGChrch01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00700--cbgchrch01-g--747d2374\Civilian - Civilian Building - G Chrch 01 G - CBGChrch01_G.gif,55718,49552bfa6c5a1592bc4009e58137537d0e2a28d0acf32bfd87a4b9abbb277f5a,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 G - CBGChrch01_G.gif,new
79,00702--cbgchrch01-ng--86d04f20,00702--cbgchrch01-ng--86d04f20,1,W3DZH.big\Art\W3D\CBGChrch01_NG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00702--cbgchrch01-ng--86d04f20\Civilian - Civilian Building - G Chrch 01 NG - CBGChrch01_NG.gif,55753,88087645874355b1c7440048d72b5861bff242cd80dbee6e343c0b2b9ee0b648,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 NG - CBGChrch01_NG.gif,new
80,00708--cbgchrch01-sg--da0ff206,00708--cbgchrch01-sg--da0ff206,1,W3DZH.big\Art\W3D\CBGChrch01_SG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00708--cbgchrch01-sg--da0ff206\Civilian - Civilian Building - G Chrch 01 SG - CBGChrch01_SG.gif,55844,b86e9b80a54af286a640dd5c7949049d850d495f0b887d74ce0e60b9952201b6,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 SG - CBGChrch01_SG.gif,new
81,00710--cbgchrch01-sng--0ad0725e,00710--cbgchrch01-sng--0ad0725e,1,W3DZH.big\Art\W3D\CBGChrch01_SNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00710--cbgchrch01-sng--0ad0725e\Civilian - Civilian Building - G Chrch 01 SNG - CBGChrch01_SNG.gif,55826,d4822a2b4df9bc53345d65f6cb1de3082006f3084dedeeadeaa3bdd98355d329,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - G Chrch 01 SNG - CBGChrch01_SNG.gif,new
82,00680--cbgassign--aeeb3fe2,00680--cbgassign--aeeb3fe2,1,W3DZH.big\Art\W3D\CBGasSign.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00680--cbgassign--aeeb3fe2\Civilian - Civilian Building - Gas Sign - CBGasSign.gif,182942,15c076f5fad906b92a6a2b58e64a13ac126dc3b1e6f68aa42339376bfe0f1b6a,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Gas Sign - CBGasSign.gif,new
83,04430--cbgasfacl-g--c1612ae8,04430--cbgasfacl-g--c1612ae8,1,ZH_Generals\W3D.big\Art\W3D\CBgasfacl_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04430--cbgasfacl-g--c1612ae8\Civilian - Civilian Building - Gas Storage Facility - CBgasfacl_G.gif,51432,032545073b6240a8ec06e4eb39b41d982e5bc5e3da68993b255421d194565a6e,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Gas Storage Facility - CBgasfacl_G.gif,new
84,02399--cmcastle-g--c6104753,02399--cmcastle-g--c6104753,1,W3DZH.big\Art\W3D\CMCastle_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02399--cmcastle-g--c6104753\Civilian - Civilian Building - German Castle - CMCastle_G.gif,57976,3bad52810bfc4f47bed1729ed4dafb8cdaa73835b4e42fbab123524d3160ce37,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - German Castle - CMCastle_G.gif,new
85,04450--cbgctage01-dg--66128a41,04450--cbgctage01-dg--66128a41,1,ZH_Generals\W3D.big\Art\W3D\CBGCtage01_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04450--cbgctage01-dg--66128a41\Civilian - Civilian Building - German Cotage 01 - CBGCtage01_DG.gif,38468,1d9d08ceb26f23af09300079b62dd77a74049d742b1189dec042fa4fca83f31f,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - German Cotage 01 - CBGCtage01_DG.gif,new
86,00749--cbgermus-dg--27f5006b,00749--cbgermus-dg--27f5006b,1,W3DZH.big\Art\W3D\CBGermus_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00749--cbgermus-dg--27f5006b\Civilian - Civilian Building - German Museum - CBGermus_DG.gif,31291,d3e2e871dea892e929675fa7dc01d6f189e3ff33e3be5afb2c6c540a7d6b4121,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - German Museum - CBGermus_DG.gif,new
87,04467--cbgpub02-dg--a9a444dc,04467--cbgpub02-dg--a9a444dc,1,ZH_Generals\W3D.big\Art\W3D\CBGPub02_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04467--cbgpub02-dg--a9a444dc\Civilian - Civilian Building - German Pub 02 - CBGPub02_DG.gif,58241,101550c0d6c4bf2ee4b8e5f806868dd154e8253d881d8478ea32c2bb53ee3648,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - German Pub 02 - CBGPub02_DG.gif,new
88,00519--cbchurch01-dng--74cee7b6,00519--cbchurch01-dng--74cee7b6,1,W3DZH.big\Art\W3D\CBChurch01_DNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00519--cbchurch01-dng--74cee7b6\Civilian - Civilian Building - German Town Hall - CBChurch01_DNG.gif,51098,bf61c42f7a9273ac7f2c5712884f50524292c568967f806d746c8818e01ad2d9,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - German Town Hall - CBChurch01_DNG.gif,new
89,04549--cbgwmill1-g--caddf6c4,04549--cbgwmill1-g--caddf6c4,1,ZH_Generals\W3D.big\Art\W3D\CBGWMill1_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04549--cbgwmill1-g--caddf6c4\Civilian - Civilian Building - German Wind Mill 01 - CBGWMill1_G.gif,257126,550c5f739d077fec95999d9a2a3ecbb74e158ee78ff92c46d5cfcdd9eb81b16a,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - German Wind Mill 01 - CBGWMill1_G.gif,new
90,04485--cbgrashut1-g--7549a6da,04485--cbgrashut1-g--7549a6da,1,ZH_Generals\W3D.big\Art\W3D\CBGrasHut1_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04485--cbgrashut1-g--7549a6da\Civilian - Civilian Building - Grass Hut 01 - CBGrasHut1_G.gif,59671,d2f2f40755414ddc1f6326a4aa2fd647b3282a1f14fb9a44eb391b9388b9d36e,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Grass Hut 01 - CBGrasHut1_G.gif,new
91,04493--cbgrashut2-dng--4fddf643,04493--cbgrashut2-dng--4fddf643,1,ZH_Generals\W3D.big\Art\W3D\CBGrasHut2_dng.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04493--cbgrashut2-dng--4fddf643\Civilian - Civilian Building - Grass Hut 02 - CBGrasHut2_dng.gif,167550,9df7a8237b29786808f9bd167024ad9241fa8e5ff58139c387ed96e0cbfdf331,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Grass Hut 02 - CBGrasHut2_dng.gif,new
92,04504--cbgrashut3-dng--ee8c34fc,04504--cbgrashut3-dng--ee8c34fc,1,ZH_Generals\W3D.big\Art\W3D\CBGrasHut3_DNG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04504--cbgrashut3-dng--ee8c34fc\Civilian - Civilian Building - Grass Hut 03 - CBGrasHut3_DNG.gif,97800,50a19ea56f78a83f82121298f296815bc38816b69c8b782b626a2834075a6997,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Grass Hut 03 - CBGrasHut3_DNG.gif,new
93,04520--cbgrashut4-ng--a10f6fba,04520--cbgrashut4-ng--a10f6fba,1,ZH_Generals\W3D.big\Art\W3D\CBGrasHut4_NG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04520--cbgrashut4-ng--a10f6fba\Civilian - Civilian Building - Grass Hut 04 - CBGrasHut4_NG.gif,103883,18ab5bef662b6b9413bde465a4686669e6e85fb7d1c499bbed21be5d104981d1,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Grass Hut 04 - CBGrasHut4_NG.gif,new
94,02589--cmwalchna4--caf7d028,02589--cmwalchna4--caf7d028,1,W3DZH.big\Art\W3D\Great Wall Building - CMWalChna4.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02589--cmwalchna4--caf7d028\Civilian - Civilian Building - Great Wall Building - CMWalChna4.gif,128081,a8ce2b9430ba8fc8a97d38ac875d3863f33d62acd0e1aabe26d96a44615eb292,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Great Wall Building - CMWalChna4.gif,new
95,02590--cmwalchna5--87e7c56a,02590--cmwalchna5--87e7c56a,1,W3DZH.big\Art\W3D\Great Wall Corner - CMWalChna5.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02590--cmwalchna5--87e7c56a\Civilian - Civilian Building - Great Wall Corner - CMWalChna5.gif,133785,79ee01c4a6ecfea365876ae1401f4f25436f320acf6101318f8b9dd727f6576a,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D,C:\Programs\Generals Big Extraction\W3DZH.big\Art\W3D\Civilian - Civilian Building - Great Wall Corner - CMWalChna5.gif,new
96,05538--cbtower2-dg--ba0689f8,05538--cbtower2-dg--ba0689f8,1,ZH_Generals\W3D.big\Art\W3D\CBTower2_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05538--cbtower2-dg--ba0689f8\Civilian - Civilian Building - Guard Tower - CBTower2_DG.gif,52565,056e62c17beb13c6e224c60a0739824a9a515ef6bc2ecb9e6c1a771084fe0b7d,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Guard Tower - CBTower2_DG.gif,new
97,05731--cbvhanger1-dg--b4108d86,05731--cbvhanger1-dg--b4108d86,1,ZH_Generals\W3D.big\Art\W3D\CBVHanger1_DG.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05731--cbvhanger1-dg--b4108d86\Civilian - Civilian Building - Hanger 01 - CBVHanger1_DG.gif,47108,90158d787eeaf3434183db6d8a1e69a294406d4fdca75201745cc76e8646557b,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Hanger 01 - CBVHanger1_DG.gif,new
98,04573--cbhigh01-g--4d9fadb2,04573--cbhigh01-g--4d9fadb2,1,ZH_Generals\W3D.big\Art\W3D\CBHigh01_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04573--cbhigh01-g--4d9fadb2\Civilian - Civilian Building - Highrise 01 - CBHigh01_G.gif,59853,d27e01a9088827a8091a56cf047f4eca9ff20eb03d1555513e891e3e775dbad8,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Highrise 01 - CBHigh01_G.gif,new
99,04584--cbhigh02-g--442d5b80,04584--cbhigh02-g--442d5b80,1,ZH_Generals\W3D.big\Art\W3D\CBHigh02_G.w3d,gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04584--cbhigh02-g--442d5b80\Civilian - Civilian Building - Highrise 02 - CBHigh02_G.gif,52234,0d8124186908c159a30338e92948768868ef086db3998e3126b86b2f0a65027b,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D,C:\Programs\Generals Big Extraction\ZH_Generals\W3D.big\Art\W3D\Civilian - Civilian Building - Highrise 02 - CBHigh02_G.gif,new
