production_number,case,source_path_relative,faction_or_context,functional_family,descriptive_asset_name,canonical_stem,rendered_format,review_decision,recommended_format,review_notes,rendered_media,recommended_media,reused_reviewed_pilot
85,04450--cbgctage01-dg--66128a41,ZH_Generals\W3D.big\Art\W3D\CBGCtage01_DG.w3d,Civilian,Civilian Building,German Cotage 01,CBGCtage01_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04450--cbgctage01-dg--66128a41\Civilian - Civilian Building - German Cotage 01 - CBGCtage01_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04450--cbgctage01-dg--66128a41\Civilian - Civilian Building - German Cotage 01 - CBGCtage01_DG.gif,False
86,00749--cbgermus-dg--27f5006b,W3DZH.big\Art\W3D\CBGermus_DG.w3d,Civilian,Civilian Building,German Museum,CBGermus_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00749--cbgermus-dg--27f5006b\Civilian - Civilian Building - German Museum - CBGermus_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00749--cbgermus-dg--27f5006b\Civilian - Civilian Building - German Museum - CBGermus_DG.gif,False
87,04467--cbgpub02-dg--a9a444dc,ZH_Generals\W3D.big\Art\W3D\CBGPub02_DG.w3d,Civilian,Civilian Building,German Pub 02,CBGPub02_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04467--cbgpub02-dg--a9a444dc\Civilian - Civilian Building - German Pub 02 - CBGPub02_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04467--cbgpub02-dg--a9a444dc\Civilian - Civilian Building - German Pub 02 - CBGPub02_DG.gif,False
88,00519--cbchurch01-dng--74cee7b6,W3DZH.big\Art\W3D\CBChurch01_DNG.w3d,Civilian,Civilian Building,German Town Hall,CBChurch01_DNG,gif,publish,gif,"Complete or intelligible subject with subtle, short, or continuously looping motion.",C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00519--cbchurch01-dng--74cee7b6\Civilian - Civilian Building - German Town Hall - CBChurch01_DNG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\00519--cbchurch01-dng--74cee7b6\Civilian - Civilian Building - German Town Hall - CBChurch01_DNG.gif,True
89,04549--cbgwmill1-g--caddf6c4,ZH_Generals\W3D.big\Art\W3D\CBGWMill1_G.w3d,Civilian,Civilian Building,German Wind Mill 01,CBGWMill1_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04549--cbgwmill1-g--caddf6c4\Civilian - Civilian Building - German Wind Mill 01 - CBGWMill1_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04549--cbgwmill1-g--caddf6c4\Civilian - Civilian Building - German Wind Mill 01 - CBGWMill1_G.gif,False
90,04485--cbgrashut1-g--7549a6da,ZH_Generals\W3D.big\Art\W3D\CBGrasHut1_G.w3d,Civilian,Civilian Building,Grass Hut 01,CBGrasHut1_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04485--cbgrashut1-g--7549a6da\Civilian - Civilian Building - Grass Hut 01 - CBGrasHut1_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04485--cbgrashut1-g--7549a6da\Civilian - Civilian Building - Grass Hut 01 - CBGrasHut1_G.gif,False
91,04493--cbgrashut2-dng--4fddf643,ZH_Generals\W3D.big\Art\W3D\CBGrasHut2_dng.w3d,Civilian,Civilian Building,Grass Hut 02,CBGrasHut2_dng,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04493--cbgrashut2-dng--4fddf643\Civilian - Civilian Building - Grass Hut 02 - CBGrasHut2_dng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04493--cbgrashut2-dng--4fddf643\Civilian - Civilian Building - Grass Hut 02 - CBGrasHut2_dng.gif,False
92,04504--cbgrashut3-dng--ee8c34fc,ZH_Generals\W3D.big\Art\W3D\CBGrasHut3_DNG.w3d,Civilian,Civilian Building,Grass Hut 03,CBGrasHut3_DNG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04504--cbgrashut3-dng--ee8c34fc\Civilian - Civilian Building - Grass Hut 03 - CBGrasHut3_DNG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04504--cbgrashut3-dng--ee8c34fc\Civilian - Civilian Building - Grass Hut 03 - CBGrasHut3_DNG.gif,False
93,04520--cbgrashut4-ng--a10f6fba,ZH_Generals\W3D.big\Art\W3D\CBGrasHut4_NG.w3d,Civilian,Civilian Building,Grass Hut 04,CBGrasHut4_NG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04520--cbgrashut4-ng--a10f6fba\Civilian - Civilian Building - Grass Hut 04 - CBGrasHut4_NG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04520--cbgrashut4-ng--a10f6fba\Civilian - Civilian Building - Grass Hut 04 - CBGrasHut4_NG.gif,False
94,02589--cmwalchna4--caf7d028,W3DZH.big\Art\W3D\Great Wall Building - CMWalChna4.w3d,Civilian,Civilian Building,Great Wall Building,CMWalChna4,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02589--cmwalchna4--caf7d028\Civilian - Civilian Building - Great Wall Building - CMWalChna4.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02589--cmwalchna4--caf7d028\Civilian - Civilian Building - Great Wall Building - CMWalChna4.gif,False
95,02590--cmwalchna5--87e7c56a,W3DZH.big\Art\W3D\Great Wall Corner - CMWalChna5.w3d,Civilian,Civilian Building,Great Wall Corner,CMWalChna5,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02590--cmwalchna5--87e7c56a\Civilian - Civilian Building - Great Wall Corner - CMWalChna5.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\02590--cmwalchna5--87e7c56a\Civilian - Civilian Building - Great Wall Corner - CMWalChna5.gif,False
96,05538--cbtower2-dg--ba0689f8,ZH_Generals\W3D.big\Art\W3D\CBTower2_DG.w3d,Civilian,Civilian Building,Guard Tower,CBTower2_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05538--cbtower2-dg--ba0689f8\Civilian - Civilian Building - Guard Tower - CBTower2_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05538--cbtower2-dg--ba0689f8\Civilian - Civilian Building - Guard Tower - CBTower2_DG.gif,False
97,05731--cbvhanger1-dg--b4108d86,ZH_Generals\W3D.big\Art\W3D\CBVHanger1_DG.w3d,Civilian,Civilian Building,Hanger 01,CBVHanger1_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05731--cbvhanger1-dg--b4108d86\Civilian - Civilian Building - Hanger 01 - CBVHanger1_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05731--cbvhanger1-dg--b4108d86\Civilian - Civilian Building - Hanger 01 - CBVHanger1_DG.gif,False
98,04573--cbhigh01-g--4d9fadb2,ZH_Generals\W3D.big\Art\W3D\CBHigh01_G.w3d,Civilian,Civilian Building,Highrise 01,CBHigh01_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04573--cbhigh01-g--4d9fadb2\Civilian - Civilian Building - Highrise 01 - CBHigh01_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04573--cbhigh01-g--4d9fadb2\Civilian - Civilian Building - Highrise 01 - CBHigh01_G.gif,False
99,04584--cbhigh02-g--442d5b80,ZH_Generals\W3D.big\Art\W3D\CBHigh02_G.w3d,Civilian,Civilian Building,Highrise 02,CBHigh02_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04584--cbhigh02-g--442d5b80\Civilian - Civilian Building - Highrise 02 - CBHigh02_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04584--cbhigh02-g--442d5b80\Civilian - Civilian Building - Highrise 02 - CBHigh02_G.gif,False
100,04593--cbindwhs01-g--2f1686ad,ZH_Generals\W3D.big\Art\W3D\CBIndWhs01_G.w3d,Civilian,Civilian Building,Industrial Building 01,CBIndWhs01_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04593--cbindwhs01-g--2f1686ad\Civilian - Civilian Building - Industrial Building 01 - CBIndWhs01_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04593--cbindwhs01-g--2f1686ad\Civilian - Civilian Building - Industrial Building 01 - CBIndWhs01_G.gif,False
101,04602--cbindwhs02-g--5c79258e,ZH_Generals\W3D.big\Art\W3D\CBIndWhs02_g.w3d,Civilian,Civilian Building,Industrial Building 02,CBIndWhs02_g,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04602--cbindwhs02-g--5c79258e\Civilian - Civilian Building - Industrial Building 02 - CBIndWhs02_g.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04602--cbindwhs02-g--5c79258e\Civilian - Civilian Building - Industrial Building 02 - CBIndWhs02_g.gif,False
102,05247--cbtdome-g--57551ed1,ZH_Generals\W3D.big\Art\W3D\CBTDome_G.w3d,Civilian,Civilian Building,Mogadishu Dome,CBTDome_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05247--cbtdome-g--57551ed1\Civilian - Civilian Building - Mogadishu Dome - CBTDome_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05247--cbtdome-g--57551ed1\Civilian - Civilian Building - Mogadishu Dome - CBTDome_G.gif,False
103,01005--cbmogdis02-dsng--8335cdbc,W3DZH.big\Art\W3D\CBMogdis02_DSNG.w3d,Civilian,Civilian Building,Mogadishu Garage,CBMogdis02_DSNG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01005--cbmogdis02-dsng--8335cdbc\Civilian - Civilian Building - Mogadishu Garage - CBMogdis02_DSNG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01005--cbmogdis02-dsng--8335cdbc\Civilian - Civilian Building - Mogadishu Garage - CBMogdis02_DSNG.gif,False
104,04681--cbmogdis05-dg--e4ccc0a7,ZH_Generals\W3D.big\Art\W3D\CBMogdis05_dg.w3d,Civilian,Civilian Building,Mogadishu Garage 02,CBMogdis05_dg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04681--cbmogdis05-dg--e4ccc0a7\Civilian - Civilian Building - Mogadishu Garage 02 - CBMogdis05_dg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04681--cbmogdis05-dg--e4ccc0a7\Civilian - Civilian Building - Mogadishu Garage 02 - CBMogdis05_dg.gif,False
105,04630--cbmogdis01-g--092b4ae8,ZH_Generals\W3D.big\Art\W3D\CBMogdis01_G.w3d,Civilian,Civilian Building,Mogadishu Highrise 01,CBMogdis01_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04630--cbmogdis01-g--092b4ae8\Civilian - Civilian Building - Mogadishu Highrise 01 - CBMogdis01_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04630--cbmogdis01-g--092b4ae8\Civilian - Civilian Building - Mogadishu Highrise 01 - CBMogdis01_G.gif,False
106,04692--cbmogdis06-dg--2794b38c,ZH_Generals\W3D.big\Art\W3D\CBMogdis06_dg.w3d,Civilian,Civilian Building,Mogadishu Highrise 02,CBMogdis06_dg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04692--cbmogdis06-dg--2794b38c\Civilian - Civilian Building - Mogadishu Highrise 02 - CBMogdis06_dg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04692--cbmogdis06-dg--2794b38c\Civilian - Civilian Building - Mogadishu Highrise 02 - CBMogdis06_dg.gif,False
107,04709--cbmogdis07-dg--5a24fde5,ZH_Generals\W3D.big\Art\W3D\CBMogdis07_DG.w3d,Civilian,Civilian Building,Mogadishu Highrise 03,CBMogdis07_DG,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04709--cbmogdis07-dg--5a24fde5\Civilian - Civilian Building - Mogadishu Highrise 03 - CBMogdis07_DG.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\04709--cbmogdis07-dg--5a24fde5\Civilian - Civilian Building - Mogadishu Highrise 03 - CBMogdis07_DG.gif,False
108,05524--cbtower04-g--9768c8eb,ZH_Generals\W3D.big\Art\W3D\CBTower04_G.w3d,Civilian,Civilian Building,Mogadishu Tower 04,CBTower04_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05524--cbtower04-g--9768c8eb\Civilian - Civilian Building - Mogadishu Tower 04 - CBTower04_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05524--cbtower04-g--9768c8eb\Civilian - Civilian Building - Mogadishu Tower 04 - CBTower04_G.gif,False
109,05533--cbtower05-g--5e0a170f,ZH_Generals\W3D.big\Art\W3D\CBTower05_G.w3d,Civilian,Civilian Building,Mogadishu Tower 05,CBTower05_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05533--cbtower05-g--5e0a170f\Civilian - Civilian Building - Mogadishu Tower 05 - CBTower05_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05533--cbtower05-g--5e0a170f\Civilian - Civilian Building - Mogadishu Tower 05 - CBTower05_G.gif,False
110,01072--cbmonoffce--8110aa40,W3DZH.big\Art\W3D\CBMonOffce.w3d,Civilian,Civilian Building,Mon Offce,CBMonOffce,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01072--cbmonoffce--8110aa40\Civilian - Civilian Building - Mon Offce - CBMonOffce.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01072--cbmonoffce--8110aa40\Civilian - Civilian Building - Mon Offce - CBMonOffce.gif,False
111,01329--cbnoffice-dg--69c02cad,W3DZH.big\Art\W3D\CBNOffice_dg.w3d,Civilian,Civilian Building,N Office dg,CBNOffice_dg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01329--cbnoffice-dg--69c02cad\Civilian - Civilian Building - N Office dg - CBNOffice_dg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01329--cbnoffice-dg--69c02cad\Civilian - Civilian Building - N Office dg - CBNOffice_dg.gif,False
112,01457--cbntemple-dg--8e702a6c,W3DZH.big\Art\W3D\CBNTemple_dg.w3d,Civilian,Civilian Building,N Temple dg,CBNTemple_dg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01457--cbntemple-dg--8e702a6c\Civilian - Civilian Building - N Temple dg - CBNTemple_dg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01457--cbntemple-dg--8e702a6c\Civilian - Civilian Building - N Temple dg - CBNTemple_dg.gif,False
113,01459--cbntemple-dng--af6b4b93,W3DZH.big\Art\W3D\CBNTemple_dng.w3d,Civilian,Civilian Building,N Temple dng,CBNTemple_dng,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01459--cbntemple-dng--af6b4b93\Civilian - Civilian Building - N Temple dng - CBNTemple_dng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01459--cbntemple-dng--af6b4b93\Civilian - Civilian Building - N Temple dng - CBNTemple_dng.gif,False
114,01461--cbntemple-dsg--2ad27a46,W3DZH.big\Art\W3D\CBNTemple_dsg.w3d,Civilian,Civilian Building,N Temple dsg,CBNTemple_dsg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01461--cbntemple-dsg--2ad27a46\Civilian - Civilian Building - N Temple dsg - CBNTemple_dsg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01461--cbntemple-dsg--2ad27a46\Civilian - Civilian Building - N Temple dsg - CBNTemple_dsg.gif,False
115,01463--cbntemple-dsng--ea2a9e8a,W3DZH.big\Art\W3D\CBNTemple_dsng.w3d,Civilian,Civilian Building,N Temple dsng,CBNTemple_dsng,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01463--cbntemple-dsng--ea2a9e8a\Civilian - Civilian Building - N Temple dsng - CBNTemple_dsng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01463--cbntemple-dsng--ea2a9e8a\Civilian - Civilian Building - N Temple dsng - CBNTemple_dsng.gif,False
116,01468--cbntemple-g--7447e8b0,W3DZH.big\Art\W3D\CBNTemple_g.w3d,Civilian,Civilian Building,N Temple g,CBNTemple_g,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01468--cbntemple-g--7447e8b0\Civilian - Civilian Building - N Temple g - CBNTemple_g.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01468--cbntemple-g--7447e8b0\Civilian - Civilian Building - N Temple g - CBNTemple_g.gif,False
117,01470--cbntemple-ng--8738e477,W3DZH.big\Art\W3D\CBNTemple_ng.w3d,Civilian,Civilian Building,N Temple ng,CBNTemple_ng,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01470--cbntemple-ng--8738e477\Civilian - Civilian Building - N Temple ng - CBNTemple_ng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01470--cbntemple-ng--8738e477\Civilian - Civilian Building - N Temple ng - CBNTemple_ng.gif,False
118,01477--cbntemple-sg--c6ac8d18,W3DZH.big\Art\W3D\CBNTemple_sg.w3d,Civilian,Civilian Building,N Temple sg,CBNTemple_sg,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01477--cbntemple-sg--c6ac8d18\Civilian - Civilian Building - N Temple sg - CBNTemple_sg.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01477--cbntemple-sg--c6ac8d18\Civilian - Civilian Building - N Temple sg - CBNTemple_sg.gif,False
119,01479--cbntemple-sng--f5da97c9,W3DZH.big\Art\W3D\CBNTemple_sng.w3d,Civilian,Civilian Building,N Temple sng,CBNTemple_sng,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01479--cbntemple-sng--f5da97c9\Civilian - Civilian Building - N Temple sng - CBNTemple_sng.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01479--cbntemple-sng--f5da97c9\Civilian - Civilian Building - N Temple sng - CBNTemple_sng.gif,False
120,01480--cbntmhv-fh-gs--f8060c2a,W3DZH.big\Art\W3D\CBNTmHv_FH_GS.w3d,Civilian,Civilian Building,N Tm Hv FH GS,CBNTmHv_FH_GS,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01480--cbntmhv-fh-gs--f8060c2a\Civilian - Civilian Building - N Tm Hv FH GS - CBNTmHv_FH_GS.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01480--cbntmhv-fh-gs--f8060c2a\Civilian - Civilian Building - N Tm Hv FH GS - CBNTmHv_FH_GS.gif,False
121,06515--cbnukebunk2--09b1c81f,ZH_Generals\W3D.big\Art\W3D\Nuclear Bunker - CBNukeBunk2.w3d,Civilian,Civilian Building,Nuclear Bunker,CBNukeBunk2,gif,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\06515--cbnukebunk2--09b1c81f\Civilian - Civilian Building - Nuclear Bunker - CBNukeBunk2.gif,,False
122,05850--cmoceancen-g--514ae90d,ZH_Generals\W3D.big\Art\W3D\CMOceanCen_G.w3d,Civilian,Civilian Building,Ocean Convention Center,CMOceanCen_G,gif,reject,,no useful visible motion,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05850--cmoceancen-g--514ae90d\Civilian - Civilian Building - Ocean Convention Center - CMOceanCen_G.gif,,False
123,05074--cboilrfny-g--9339a918,ZH_Generals\W3D.big\Art\W3D\CBOilRfny_G.w3d,Civilian,Civilian Building,Oil Refinery,CBOilRfny_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05074--cboilrfny-g--9339a918\Civilian - Civilian Building - Oil Refinery - CBOilRfny_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05074--cboilrfny-g--9339a918\Civilian - Civilian Building - Oil Refinery - CBOilRfny_G.gif,False
124,05093--cbquonset1-g--cdcad5ad,ZH_Generals\W3D.big\Art\W3D\CBQuonset1_G.w3d,Civilian,Civilian Building,Quonset Hut 01,CBQuonset1_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05093--cbquonset1-g--cdcad5ad\Civilian - Civilian Building - Quonset Hut 01 - CBQuonset1_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05093--cbquonset1-g--cdcad5ad\Civilian - Civilian Building - Quonset Hut 01 - CBQuonset1_G.gif,False
125,01645--cbsecrtlab-g--88845ee2,W3DZH.big\Art\W3D\CBSecrtLab_G.w3d,Civilian,Civilian Building,Secret Lab,CBSecrtLab_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01645--cbsecrtlab-g--88845ee2\Civilian - Civilian Building - Secret Lab - CBSecrtLab_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\01645--cbsecrtlab-g--88845ee2\Civilian - Civilian Building - Secret Lab - CBSecrtLab_G.gif,False
126,05019--cbnshack-g--badd3e62,ZH_Generals\W3D.big\Art\W3D\CBNShack_g.w3d,Civilian,Civilian Building,Shack,CBNShack_g,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05019--cbnshack-g--badd3e62\Civilian - Civilian Building - Shack - CBNShack_g.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05019--cbnshack-g--badd3e62\Civilian - Civilian Building - Shack - CBNShack_g.gif,False
127,05122--cbsovbldg-g--b9308fc4,ZH_Generals\W3D.big\Art\W3D\CBSovBldg_G.w3d,Civilian,Civilian Building,Soviet Building,CBSovBldg_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05122--cbsovbldg-g--b9308fc4\Civilian - Civilian Building - Soviet Building - CBSovBldg_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05122--cbsovbldg-g--b9308fc4\Civilian - Civilian Building - Soviet Building - CBSovBldg_G.gif,False
128,05134--cbsovrdio-g--0aad82b3,ZH_Generals\W3D.big\Art\W3D\CBSovRdio_G.w3d,Civilian,Civilian Building,Soviet Radio Building,CBSovRdio_G,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05134--cbsovrdio-g--0aad82b3\Civilian - Civilian Building - Soviet Radio Building - CBSovRdio_G.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05134--cbsovrdio-g--0aad82b3\Civilian - Civilian Building - Soviet Radio Building - CBSovRdio_G.gif,False
129,05213--cbtconvst1-g--30bb37b5,ZH_Generals\W3D.big\Art\W3D\CBTConvSt1_g.w3d,Civilian,Civilian Building,Stan Convenience Store 01,CBTConvSt1_g,gif,publish,gif,Complete or intelligible subject with useful mechanical motion or a legitimate subtle loop.,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05213--cbtconvst1-g--30bb37b5\Civilian - Civilian Building - Stan Convenience Store 01 - CBTConvSt1_g.gif,C:\Users\Jeff\Documents\Codex\2026-08-18\in\w3d-animation-production\output\05213--cbtconvst1-g--30bb37b5\Civilian - Civilian Building - Stan Convenience Store 01 - CBTConvSt1_g.gif,False
